chrom,tss,chromEnd,strand,gene_name,gene_id,cage_used
1,69091,69092,+,OR4F5,ENSG00000186092,False
1,139379,139380,-,AL627309.1,ENSG00000237683,False
1,367640,367641,+,OR4F29,ENSG00000235249,False
1,622053,622054,-,OR4F16,ENSG00000185097,False
1,739137,739138,-,AL669831.1,ENSG00000269831,False
1,818043,818044,+,AL645608.2,ENSG00000269308,False
1,866445,866446,-,AL645608.1,ENSG00000268179,False
1,877495,877496,+,SAMD11,ENSG00000187634,True
1,894639,894640,-,NOC2L,ENSG00000188976,True
1,895981,895982,+,KLHL17,ENSG00000187961,True
1,901877,901878,+,PLEKHN1,ENSG00000187583,True
1,917475,917476,-,C1orf170,ENSG00000187642,True
1,935475,935476,-,HES4,ENSG00000188290,True
1,948875,948876,+,ISG15,ENSG00000187608,True
1,955478,955479,+,AGRN,ENSG00000188157,True
1,1009685,1009686,-,RNF223,ENSG00000237330,True
1,1051475,1051476,-,C1orf159,ENSG00000131591,True
1,1115067,1115068,+,TTLL10,ENSG00000162571,True
1,1141956,1141957,-,TNFRSF18,ENSG00000186891,True
1,1149532,1149533,-,TNFRSF4,ENSG00000186827,True
1,1167369,1167370,-,SDF4,ENSG00000078808,True
1,1167631,1167632,+,B3GALT6,ENSG00000176022,True
1,1182102,1182103,-,FAM132A,ENSG00000184163,False
1,1209224,1209225,-,UBE2J2,ENSG00000160087,True
1,1219381,1219382,+,SCNN1D,ENSG00000162572,True
1,1243285,1243286,-,ACAP3,ENSG00000131584,True
1,1243999,1244000,+,PUSL1,ENSG00000169972,True
1,1260037,1260038,-,CPSF3L,ENSG00000127054,True
1,1260205,1260206,+,GLTPD1,ENSG00000224051,True
1,1266661,1266662,+,TAS1R3,ENSG00000169962,True
1,1284778,1284779,-,DVL1,ENSG00000107404,True
1,1293926,1293927,-,MXRA8,ENSG00000162576,True
1,1310566,1310567,-,AURKAIP1,ENSG00000175756,True
1,1334703,1334704,-,CCNL2,ENSG00000221978,True
1,1334902,1334903,+,RP4-758J18.2,ENSG00000224870,False
1,1342654,1342655,-,MRPL20,ENSG00000242485,True
1,1356653,1356654,-,ANKRD65,ENSG00000235098,True
1,1361271,1361272,+,TMEM88B,ENSG00000205116,True
1,1371083,1371084,+,VWA1,ENSG00000179403,True
1,1397851,1397852,+,ATAD3C,ENSG00000215915,True
1,1407151,1407152,+,ATAD3B,ENSG00000160072,True
1,1447536,1447537,+,ATAD3A,ENSG00000197785,True
1,1475992,1475993,-,TMEM240,ENSG00000205090,True
1,1510235,1510236,-,SSU72,ENSG00000160075,True
1,1510355,1510356,+,AL645728.1,ENSG00000215014,False
1,1535476,1535477,-,C1orf233,ENSG00000228594,False
1,1551270,1551271,+,MIB2,ENSG00000197530,True
1,1567560,1567561,+,MMP23B,ENSG00000189409,True
1,1624167,1624168,-,SLC35E2B,ENSG00000189339,False
